SR Text,Conditions,Actions,Role,Keywords,Current Paragraph,Previous Paragraph,Next Paragraph,Section Number,Section Title,Section Level,Paragraph Index,Sentence Index,status_code,field_name,content_coding,method,syntax,class,First_Keyword
"When a PUT representation is inconsistent with the target resource, the origin server SHOULD either make them consistent, by transforming the representation or changing the resource configuration, or respond with an appropriate error message containing sufficient information to explain why the representation is unsuitable.",A PUT representation is inconsistent with the target resource.,The origin server SHOULD either make the representation and resource consistent (by transforming the representation or changing the resource configuration) or respond with an appropriate error message containing sufficient information to explain why the representation is unsuitable.,Origin Server,SHOULD,"An origin server SHOULD verify that the PUT representation is consistent with its configured constraints for the target resource. For example, if an origin server determines a resource's representation metadata based on the URI, then the origin server needs to ensure that the content received in a successful PUT request is consistent with that metadata. When a PUT representation is inconsistent with the target resource, the origin server SHOULD either make them consistent, by transforming the representation or changing the resource configuration, or respond with an appropriate error message containing sufficient information to explain why the representation is unsuitable. The 409 (Conflict) or 415 (Unsupported Media Type) status codes are suggested, with the latter being specific to constraints on Content-Type values.","If the target resource does not have a current representation and the PUT successfully creates one, then the origin server MUST inform the user agent by sending a 201 (Created) response. If the target resource does have a current representation and that representation is successfully modified in accordance with the state of the enclosed representation, then the origin server MUST send either a 200 (OK) or a 204 (No Content) response to indicate successful completion of the request.","For example, if the target resource is configured to always have a Content-Type of ""text/html"" and the representation being PUT has a Content-Type of ""image/jpeg"", the origin server ought to do one of:",9.3.4,PUT,3,3,3,,,,PUT,,,SHOULD
"As a result, an origin server SHOULD ignore unrecognized header and trailer fields received in a PUT request (i.e., not save them as part of the resource state).",A PUT request that contains unrecognized header and trailer fields.,"The origin server SHOULD ignore these unrecognized header and trailer fields, meaning that they should not be saved as part of the resource state.",Origin Server,SHOULD,"This extends to how header and trailer fields are stored; while common header fields like Content-Type will typically be stored and returned upon subsequent GET requests, header and trailer field handling is specific to the resource that received the request. As a result, an origin server SHOULD ignore unrecognized header and trailer fields received in a PUT request (i.e., not save them as part of the resource state).","HTTP does not define exactly how a PUT method affects the state of an origin server beyond what can be expressed by the intent of the user agent request and the semantics of the origin server response. It does not define what a resource might be, in any sense of that word, beyond the interface provided via HTTP. It does not define how resource state is ""stored"", nor how such storage might change as a result of a change in resource state, nor how the origin server translates resource state into representations. Generally speaking, all implementation details behind the resource interface are intentionally hidden by the server.","An origin server MUST NOT send a validator field (Section 8.8), such as an ETag or Last-Modified field, in a successful response to PUT unless the request's representation data was saved without any transformation applied to the content (i.e., the resource's new representation data is identical to the content received in the PUT request) and the validator field value reflects the new representation. This requirement allows a user agent to know when the representation it sent (and retains in memory) is the result of the PUT, and thus it doesn't need to be retrieved again from the origin server. The new validator(s) received in the response can be used for future conditional requests in order to prevent accidental overwrites (Section 13.1).",9.3.4,PUT,3,9,2,,trailer,,PUT,,,SHOULD
"An origin server MUST NOT send a validator field (Section 8.8), such as an ETag or Last-Modified field, in a successful response to PUT unless the request's representation data was saved without any transformation applied to the content (i.e., the resource's new representation data is identical to the content received in the PUT request) and the validator field value reflects the new representation.","When a successful response to a PUT request is being generated, if the request’s representation data was not saved without transformation (i.e., the new representation is not identical to the content received) or the validator field value does not reflect the new representation.",The origin server MUST NOT include any validator field (such as an ETag or Last-Modified field) in the successful response to the PUT request.,Origin Server,MUST NOT,"An origin server MUST NOT send a validator field (Section 8.8), such as an ETag or Last-Modified field, in a successful response to PUT unless the request's representation data was saved without any transformation applied to the content (i.e., the resource's new representation data is identical to the content received in the PUT request) and the validator field value reflects the new representation. This requirement allows a user agent to know when the representation it sent (and retains in memory) is the result of the PUT, and thus it doesn't need to be retrieved again from the origin server. The new validator(s) received in the response can be used for future conditional requests in order to prevent accidental overwrites (Section 13.1).","This extends to how header and trailer fields are stored; while common header fields like Content-Type will typically be stored and returned upon subsequent GET requests, header and trailer field handling is specific to the resource that received the request. As a result, an origin server SHOULD ignore unrecognized header and trailer fields received in a PUT request (i.e., not save them as part of the resource state).","The fundamental difference between the POST and PUT methods is highlighted by the different intent for the enclosed representation. The target resource in a POST request is intended to handle the enclosed representation according to the resource's own semantics, whereas the enclosed representation in a PUT request is defined as replacing the state of the target resource. Hence, the intent of PUT is idempotent and visible to intermediaries, even though the exact effect is only known by the origin server.",9.3.4,PUT,3,10,1,,"ETag,Last-Modified",,PUT,,,MUST
"A service that selects a proper URI on behalf of the client, after receiving a state-changing request, SHOULD be implemented using the POST method rather than PUT","After receiving a state-changing request (i.e., when the service selects a proper URI on behalf of the client)",The service SHOULD be implemented using the POST method rather than PUT,Origin Server,SHOULD,"Proper interpretation of a PUT request presumes that the user agent knows which target resource is desired. A service that selects a proper URI on behalf of the client, after receiving a state-changing request, SHOULD be implemented using the POST method rather than PUT. If the origin server will not make the requested PUT state change to the target resource and instead wishes to have it applied to a different resource, such as when the resource has been moved to a different URI, then the origin server MUST send an appropriate 3xx (Redirection) response; the user agent MAY then make its own decision regarding whether or not to redirect the request.","The fundamental difference between the POST and PUT methods is highlighted by the different intent for the enclosed representation. The target resource in a POST request is intended to handle the enclosed representation according to the resource's own semantics, whereas the enclosed representation in a PUT request is defined as replacing the state of the target resource. Hence, the intent of PUT is idempotent and visible to intermediaries, even though the exact effect is only known by the origin server.","A PUT request applied to the target resource can have side effects on other resources. For example, an article might have a URI for identifying ""the current version"" (a resource) that is separate from the URIs identifying each particular version (different resources that at one point shared the same state as the current version resource). A successful PUT request on ""the current version"" URI might therefore create a new version resource in addition to changing the state of the target resource, and might also cause links to be added between the related resources.",9.3.4,PUT,3,12,2,,,,"POST,PUT",,,SHOULD
"If the origin server will not make the requested PUT state change to the target resource and instead wishes to have it applied to a different resource, such as when the resource has been moved to a different URI, then the origin server MUST send an appropriate 3xx (Redirection) response; the user agent MAY then make its own decision regarding whether or not to redirect the request.","The origin server will not make the requested PUT state change to the target resource,The origin server wishes the state change to be applied to a different resource (e.g., when the resource has been moved to another URI)",The origin server MUST send an appropriate 3xx (Redirection) response,Origin Server,"MUST, MAY","Proper interpretation of a PUT request presumes that the user agent knows which target resource is desired. A service that selects a proper URI on behalf of the client, after receiving a state-changing request, SHOULD be implemented using the POST method rather than PUT. If the origin server will not make the requested PUT state change to the target resource and instead wishes to have it applied to a different resource, such as when the resource has been moved to a different URI, then the origin server MUST send an appropriate 3xx (Redirection) response; the user agent MAY then make its own decision regarding whether or not to redirect the request.","The fundamental difference between the POST and PUT methods is highlighted by the different intent for the enclosed representation. The target resource in a POST request is intended to handle the enclosed representation according to the resource's own semantics, whereas the enclosed representation in a PUT request is defined as replacing the state of the target resource. Hence, the intent of PUT is idempotent and visible to intermediaries, even though the exact effect is only known by the origin server.","A PUT request applied to the target resource can have side effects on other resources. For example, an article might have a URI for identifying ""the current version"" (a resource) that is separate from the URIs identifying each particular version (different resources that at one point shared the same state as the current version resource). A successful PUT request on ""the current version"" URI might therefore create a new version resource in addition to changing the state of the target resource, and might also cause links to be added between the related resources.",9.3.4,PUT,3,12,3,3xx,,,PUT,,,MUST
"If a DELETE method is successfully applied, the origin server SHOULD send",A DELETE method is successfully applied.,"The origin server SHOULD send a response, such as a 202 (Accepted) status code if the action will likely succeed but has not yet been enacted.",Origin Server,SHOULD,"If a DELETE method is successfully applied, the origin server SHOULD send","Relatively few resources allow the DELETE method --its primary use is for remote authoring environments, where the user has some direction regarding its effect. For example, a resource that was previously created using a PUT request, or identified via the Location header field after a 201 (Created) response to a POST request, might allow a corresponding DELETE request to undo those actions. Similarly, custom user agent implementations that implement an authoring function, such as revision control clients using HTTP for remote operations, might use DELETE based on an assumption that the server's URI space has been crafted to correspond to a version repository.","* a 202 (Accepted) status code if the action will likely succeed but has not yet been enacted,",9.3.5,DELETE,3,4,1,,,,DELETE,,,SHOULD
"A server MUST reject a CONNECT request that targets an empty or invalid port number, typically by responding with a 400 (Bad Request) status code.",A CONNECT request that targets an empty or invalid port number,"The server MUST reject the CONNECT request, typically by responding with a 400 (Bad Request) status code",Server,MUST,"A server MUST reject a CONNECT request that targets an empty or invalid port number, typically by responding with a 400 (Bad Request) status code.",CONNECT server.example.com:80 HTTP/1.1 Host: server.example.com,"Because CONNECT changes the request/response nature of an HTTP connection, specific HTTP versions might have different ways of mapping its semantics into the protocol's wire format.",9.3.6,CONNECT,3,4,1,400,,,CONNECT,,,MUST
"An origin server MAY accept a CONNECT request, but most origin servers do not implement CONNECT.",A CONNECT request is received by the origin server.,"The origin server MAY accept the CONNECT request, although most origin servers do not implement CONNECT.",Origin Server,MAY,"CONNECT is intended for use in requests to a proxy. The recipient can establish a tunnel either by directly connecting to the server identified by the request target or, if configured to use another proxy, by forwarding the CONNECT request to the next inbound proxy. An origin server MAY accept a CONNECT request, but most origin servers do not implement CONNECT.","Because CONNECT changes the request/response nature of an HTTP connection, specific HTTP versions might have different ways of mapping its semantics into the protocol's wire format.",Any 2xx (Successful) response indicates that the sender (and all inbound proxies) will switch to tunnel mode immediately after the response header section; data received after that header section is from the server identified by the request target. Any response other than a successful response indicates that the tunnel has not yet been formed.,9.3.6,CONNECT,3,6,3,,,,CONNECT,,,MAY
A server MUST NOT send any Transfer-Encoding or Content-Length header fields in a 2xx (Successful) response to CONNECT.,2xx (Successful) response to CONNECT,The server MUST NOT send any Transfer-Encoding or Content-Length header fields in such a response,Server,MUST NOT,A server MUST NOT send any Transfer-Encoding or Content-Length header fields in a 2xx (Successful) response to CONNECT. A client MUST ignore any Content-Length or Transfer-Encoding header fields received in a successful response to CONNECT.,"There are significant risks in establishing a tunnel to arbitrary servers, particularly when the destination is a well-known or reserved TCP port that is not intended for Web traffic. For example, a CONNECT to ""example.com:25"" would suggest that the proxy connect to the reserved port for SMTP traffic; if allowed, that could trick the proxy into relaying spam email. Proxies that support CONNECT SHOULD restrict its use to a limited set of known ports or a configurable list of safe request targets.",A CONNECT request message does not have content. The interpretation of data sent after the header section of the CONNECT request message is specific to the version of HTTP in use.,9.3.6,CONNECT,3,12,1,2xx,"Content-Length,Transfer-Encoding",,CONNECT,,,MUST
"A server generating a successful response to OPTIONS SHOULD send any header that might indicate optional features implemented by the server and applicable to the target resource (e.g., Allow), including potential extensions not defined by this specification.",A server generates a successful response to an OPTIONS request.,"The server SHOULD send any header that might indicate optional features implemented by the server and applicable to the target resource (e.g., Allow), including potential extensions not defined by this specification.",Server,SHOULD,"A server generating a successful response to OPTIONS SHOULD send any header that might indicate optional features implemented by the server and applicable to the target resource (e.g., Allow), including potential extensions not defined by this specification. The response content, if any, might also describe the communication options in a machine or human-readable representation. A standard format for such a representation is not defined by this specification, but might be defined by future extensions to HTTP.","If the request target is not an asterisk, the OPTIONS request applies to the options that are available when communicating with the target resource.",A client MAY send a Max-Forwards header field in an OPTIONS request to target a specific recipient in the request chain (see Section 7.6.2). A proxy MUST NOT generate a Max-Forwards header field while forwarding a request unless that request was received with a Max-Forwards field.,9.3.7,OPTIONS,3,4,1,,Allow,,OPTIONS,,,SHOULD
"The final recipient of the request SHOULD reflect the message received, excluding some fields described below, back to the client as the content of a 200 (OK) response.","When a TRACE request is received by the final recipient (i.e., the origin server or the first server to receive a Max-Forwards value of zero)","The final recipient SHOULD reflect the received message, excluding certain fields described in the specification, back to the client as the content of a 200 (OK) response.",Recipient,SHOULD,"The TRACE method requests a remote, application-level loop-back of the request message. The final recipient of the request SHOULD reflect the message received, excluding some fields described below, back to the client as the content of a 200 (OK) response. The ""message/http"" format (Section 10.1 of [HTTP/1.1]) is one way to do so. The final recipient is either the origin server or the first server to receive a Max-Forwards value of zero (0) in the request (Section 7.6.2).",,"A client MUST NOT generate fields in a TRACE request containing sensitive data that might be disclosed by the response. For example, it would be foolish for a user agent to send stored user credentials (Section 11) or cookies [COOKIE] in a TRACE request. The final recipient of the request SHOULD exclude any request fields that are likely to contain sensitive data when that recipient generates the response content.",9.3.8,TRACE,3,1,2,200,,,,,,SHOULD
A server that receives an Expect field value containing a member other than 100-continue MAY respond with a 417 (Expectation Failed) status code to indicate that the unexpected expectation cannot be met.,A server receives an Expect field value that includes a member other than '100-continue'.,The server MAY respond with a 417 (Expectation Failed) status code to indicate that the unexpected expectation cannot be met.,Server,MAY,A server that receives an Expect field value containing a member other than 100-continue MAY respond with a 417 (Expectation Failed) status code to indicate that the unexpected expectation cannot be met.,"The only expectation defined by this specification is ""100-continue"" (with no defined parameters).","A ""100-continue"" expectation informs recipients that the client is about to send (presumably large) content in this request and wishes to receive a 100 (Continue) interim response if the method, target URI, and header fields are not sufficient to cause an immediate success, redirect, or error response. This allows the client to wait for an indication that it is worthwhile to send the content before actually doing so, which can improve efficiency when the data is huge or when the client anticipates that an error is likely (e.g., when sending a state-changing method, for the first time, without previously verified authentication credentials).",10.1.1,Expect,3,4,1,417,"Expect,100-continue",,,,,MAY
* A server that receives a 100-continue expectation in an HTTP/1.0 request MUST ignore that expectation.,A server receives a 100-continue expectation in an HTTP/1.0 request.,The server MUST ignore the 100-continue expectation.,Server,MUST,* A server that receives a 100-continue expectation in an HTTP/1.0 request MUST ignore that expectation.,Requirements for servers:,"* A server MAY omit sending a 100 (Continue) response if it has already received some or all of the content for the corresponding request, or if the framing indicates that there is no content.",10.1.1,Expect,3,15,1,,100-continue,,,,,MUST
"* A server MAY omit sending a 100 (Continue) response if it has already received some or all of the content for the corresponding request, or if the framing indicates that there is no content.","The server has already received some or all of the content for the corresponding request,The framing indicates that there is no content",The server MAY omit sending a 100 (Continue) response,Server,MAY,"* A server MAY omit sending a 100 (Continue) response if it has already received some or all of the content for the corresponding request, or if the framing indicates that there is no content.",* A server that receives a 100-continue expectation in an HTTP/1.0 request MUST ignore that expectation.,"* A server that sends a 100 (Continue) response MUST ultimately send a final status code, once it receives and processes the request content, unless the connection is closed prematurely.",10.1.1,Expect,3,16,1,100,,,,,,MAY
"* A server that sends a 100 (Continue) response MUST ultimately send a final status code, once it receives and processes the request content, unless the connection is closed prematurely.","A server sends a 100 (Continue) response and, provided the connection is not closed prematurely, receives and processes the request content",The server MUST ultimately send a final status code,Server,MUST,"* A server that sends a 100 (Continue) response MUST ultimately send a final status code, once it receives and processes the request content, unless the connection is closed prematurely.","* A server MAY omit sending a 100 (Continue) response if it has already received some or all of the content for the corresponding request, or if the framing indicates that there is no content.","* A server that responds with a final status code before reading the entire request content SHOULD indicate whether it intends to close the connection (e.g., see Section 9.6 of [HTTP/1.1]) or continue reading the request content.",10.1.1,Expect,3,17,1,100,,,,,,MUST
"Upon receiving an HTTP/1.1 (or later) request that has a method, target URI, and complete header section that contains a 100-continue expectation and an indication that request content will follow, an origin server MUST send either:","An HTTP/1.1 (or later) request that includes a method, a target URI, and a complete header section containing a 100-continue expectation along with an indication that request content will follow","The origin server MUST send either an immediate response with a final status code (if that status can be determined by examining just the method, target URI, and header fields) or an alternative immediate response as specified by the later branches of the directive",Origin Server,MUST,"Upon receiving an HTTP/1.1 (or later) request that has a method, target URI, and complete header section that contains a 100-continue expectation and an indication that request content will follow, an origin server MUST send either:","* A server that responds with a final status code before reading the entire request content SHOULD indicate whether it intends to close the connection (e.g., see Section 9.6 of [HTTP/1.1]) or continue reading the request content.","* an immediate response with a final status code, if that status can be determined by examining just the method, target URI, and header fields, or",10.1.1,Expect,3,19,1,,100-continue,,,,,MUST
The origin server MUST NOT wait for the content before sending the 100 (Continue) response.,When the origin server is processing a request that includes a 100-continue expectation and indicates that request content will follow,"The origin server MUST send the 100 (Continue) response immediately, without waiting for the request content",Origin Server,MUST NOT,The origin server MUST NOT wait for the content before sending the 100 (Continue) response.,* an immediate 100 (Continue) response to encourage the client to send the request content.,"Upon receiving an HTTP/1.1 (or later) request that has a method, target URI, and complete header section that contains a 100-continue expectation and indicates a request content will follow, a proxy MUST either:",10.1.1,Expect,3,22,1,100,,,,,,MUST
"A user agent SHOULD NOT send a From header field without explicit configuration by the user, since that might conflict with the user's privacy interests or their site's security policy.",The user agent is not explicitly configured by the user to include a From header field.,The user agent SHOULD NOT send a From header field.,Sender,SHOULD NOT,"The From header field is rarely sent by non-robotic user agents. A user agent SHOULD NOT send a From header field without explicit configuration by the user, since that might conflict with the user's privacy interests or their site's security policy.",From: spider-admin@example.org,"A robotic user agent SHOULD send a valid From header field so that the person responsible for running the robot can be contacted if problems occur on servers, such as if the robot is sending excessive, unwanted, or invalid requests.",10.1.2,From,3,4,2,,From,,,,,SHOULD
"A server SHOULD NOT use the From header field for access control or authentication, since its value is expected to be visible to anyone receiving or observing the request and is often recorded within logfiles and error reports without any expectation of privacy.",When the From header field is considered for use in access control or authentication,The server SHOULD NOT use the From header field for access control or authentication,Server,SHOULD NOT,"A server SHOULD NOT use the From header field for access control or authentication, since its value is expected to be visible to anyone receiving or observing the request and is often recorded within logfiles and error reports without any expectation of privacy.","A robotic user agent SHOULD send a valid From header field so that the person responsible for running the robot can be contacted if problems occur on servers, such as if the robot is sending excessive, unwanted, or invalid requests.",,10.1.2,From,3,6,1,,From,,,,,SHOULD
"A sender of TE MUST also send a ""TE"" connection option within the Connection header field (Section 7.6.1) to inform intermediaries not to forward this field.",When a sender includes the TE field in a message,The sender MUST include a 'TE' connection option within the Connection header field to instruct intermediaries not to forward the TE field,Sender,MUST,"A sender of TE MUST also send a ""TE"" connection option within the Connection header field (Section 7.6.1) to inform intermediaries not to forward this field.","The TE field value is a list of members, with each member (aside from ""trailers"") consisting of a transfer coding name token with an optional weight indicating the client's relative preference for that transfer coding (Section 12.4.2) and optional parameters for that transfer coding.",,10.1.4,TE,3,5,1,,"Connection,TE",,,,,MUST
An origin server MUST generate an Allow header field in a 405 (Method Not Allowed) response and MAY do so in any other response.,"When the origin server sends a 405 (Method Not Allowed) response,Optionally, in any other response if chosen by the server",The origin server MUST generate an Allow header field in the 405 (Method Not Allowed) response,Origin Server,"MUST, MAY","The actual set of allowed methods is defined by the origin server at the time of each request. An origin server MUST generate an Allow header field in a 405 (Method Not Allowed) response and MAY do so in any other response. An empty Allow field value indicates that the resource allows no methods, which might occur in a 405 response if the resource has been temporarily disabled by configuration.","Allow: GET, HEAD, PUT",A proxy MUST NOT modify the Allow header field --it does not need to understand all of the indicated methods in order to handle them according to the generic message handling rules.,10.2.1,Allow,3,4,2,405,Allow,,,,,MUST
An origin server MAY generate a Server header field in its responses.,When the origin server is formulating a response to a client request,The origin server MAY generate a Server header field in its responses,Origin Server,MAY,"The ""Server"" header field contains information about the software used by the origin server to handle the request, which is often used by clients to help identify the scope of reported interoperability problems, to work around or tailor requests to avoid particular server limitations, and for analytics regarding server or operating system use. An origin server MAY generate a Server header field in its responses.",,"The Server header field value consists of one or more product identifiers, each followed by zero or more comments (Section 5.6.5), which together identify the origin server software and its significant subproducts. By convention, the product identifiers are listed in decreasing order of their significance for identifying the origin server software. Each product identifier consists of a name and optional version, as defined in Section 10.1.5.",10.2.4,Server,3,1,2,,Server,,,,,MAY
An origin server SHOULD NOT generate a Server header field containing needlessly fine-grained detail and SHOULD limit the addition of subproducts by third parties.,When an origin server generates a Server header field for an HTTP response.,"The origin server SHOULD NOT generate a Server header field containing needlessly fine-grained detail.,The origin server SHOULD limit the addition of subproducts by third parties.",Origin Server,SHOULD NOT,An origin server SHOULD NOT generate a Server header field containing needlessly fine-grained detail and SHOULD limit the addition of subproducts by third parties. Overly long and detailed Server field values increase response latency and potentially reveal internal implementation details that might make it (slightly) easier for attackers to find and exploit known security holes.,Server: CERN/3.0 libwww/2.17,,10.2.4,Server,3,5,1,,Server,,,,,SHOULD
"Upon receipt of a request for a protected resource that omits credentials, contains invalid credentials (e.g., a bad password) or partial credentials (e.g., when the authentication scheme requires more than one round trip), an origin server SHOULD send a 401 (Unauthorized) response that contains a WWW-Authenticate header field with at least one (possibly new) challenge applicable to the requested resource.","A request for a protected resource that omits credentials,A request for a protected resource that contains invalid credentials (e.g., a bad password),A request for a protected resource that contains partial credentials (e.g., when the authentication scheme requires more than one round trip)",The origin server SHOULD send a 401 (Unauthorized) response that includes a WWW-Authenticate header field with at least one (possibly new) challenge applicable to the requested resource,Origin Server,SHOULD,"Upon receipt of a request for a protected resource that omits credentials, contains invalid credentials (e.g., a bad password) or partial credentials (e.g., when the authentication scheme requires more than one round trip), an origin server SHOULD send a 401 (Unauthorized) response that contains a WWW-Authenticate header field with at least one (possibly new) challenge applicable to the requested resource.","Both the Authorization field value and the Proxy-Authorization field value contain the client's credentials for the realm of the resource being requested, based upon a challenge received in a response (possibly at some point in the past). When creating their values, the user agent ought to do so by selecting the challenge with what it considers to be the most secure auth-scheme that it understands, obtaining credentials from the user as appropriate. Transmission of credentials within header field values implies significant security considerations regarding the confidentiality of the underlying connection, as described in Section 17.16.1.","Likewise, upon receipt of a request that omits proxy credentials or contains invalid or partial proxy credentials, a proxy that requires authentication SHOULD generate a 407 (Proxy Authentication Required) response that contains a Proxy-Authenticate header field with at least one (possibly new) challenge applicable to the proxy.",11.4,Credentials,2,2,1,401,WWW-Authenticate,,,,,SHOULD
A server generating a 401 (Unauthorized) response MUST send a WWW-Authenticate header field containing at least one challenge.,When a server generates a 401 (Unauthorized) response,The server MUST send a WWW-Authenticate header field containing at least one challenge,Server,MUST,A server generating a 401 (Unauthorized) response MUST send a WWW-Authenticate header field containing at least one challenge. A server MAY generate a WWW-Authenticate header field in other response messages to indicate that supplying credentials (or different credentials) might affect the response.,"The ""WWW-Authenticate"" response header field indicates the authentication scheme(s) and parameters applicable to the target resource.",A proxy forwarding a response MUST NOT modify any WWW-Authenticate header fields in that response.,11.6.1,WWW-Authenticate,3,2,1,401,WWW-Authenticate,,,,,MUST
A server MAY generate a WWW-Authenticate header field in other response messages to indicate that supplying credentials (or different credentials) might affect the response.,"In response messages other than those with a 401 (Unauthorized) status, where it is beneficial to indicate that supplying credentials (or different credentials) might affect the response.",The server MAY generate a WWW-Authenticate header field in these response messages to indicate that supplying credentials (or different credentials) might affect the response.,Server,MAY,A server generating a 401 (Unauthorized) response MUST send a WWW-Authenticate header field containing at least one challenge. A server MAY generate a WWW-Authenticate header field in other response messages to indicate that supplying credentials (or different credentials) might affect the response.,"The ""WWW-Authenticate"" response header field indicates the authentication scheme(s) and parameters applicable to the target resource.",A proxy forwarding a response MUST NOT modify any WWW-Authenticate header fields in that response.,11.6.1,WWW-Authenticate,3,2,2,,WWW-Authenticate,,,,,MAY
"If a non-empty Accept-Encoding header field is present in a request and none of the available representations for the response have a content coding that is listed as acceptable, the origin server SHOULD send a response without any content coding unless the identity coding is indicated as unacceptable.","A non-empty Accept-Encoding header field is present in a request,None of the available representations for the response have a content coding that is listed as acceptable",The origin server SHOULD send a response without any content coding unless the identity coding is indicated as unacceptable,Origin Server,SHOULD,"An Accept-Encoding header field with a field value that is empty implies that the user agent does not want any content coding in response. If a non-empty Accept-Encoding header field is present in a request and none of the available representations for the response have a content coding that is listed as acceptable, the origin server SHOULD send a response without any content coding unless the identity coding is indicated as unacceptable.","A representation could be encoded with multiple content codings. However, most content codings are alternative ways to accomplish the same purpose (e.g., data compression). When selecting between multiple content codings that have the same purpose, the acceptable content coding with the highest non-zero qvalue is preferred.","When the Accept-Encoding header field is present in a response, it indicates what content codings the resource was willing to accept in the associated request. The field value is evaluated the same way as in a request.",12.5.3,Accept-Encoding,3,10,2,,"Accept,Accept-Encoding",identity,,,,SHOULD
"In order to avoid confusion with issues related to media types, servers that fail a request with a 415 status for reasons unrelated to content codings MUST NOT include the Accept-Encoding header field.",A server fails a request with a 415 status code for reasons unrelated to content codings.,The server MUST NOT include the Accept-Encoding header field in the response.,Server,MUST NOT,"Servers that fail a request due to an unsupported content coding ought to respond with a 415 (Unsupported Media Type) status and include an Accept-Encoding header field in that response, allowing clients to distinguish between issues related to content codings and media types. In order to avoid confusion with issues related to media types, servers that fail a request with a 415 status for reasons unrelated to content codings MUST NOT include the Accept-Encoding header field.",Note that this information is specific to the associated request; the set of supported encodings might be different for other resources on the same server and could change over time or depend on other aspects of the request (such as the request method).,"The most common use of Accept-Encoding is in responses with a 415 (Unsupported Media Type) status code, in response to optimistic use of a content coding by clients. However, the header field can also be used to indicate to clients that content codings are supported in order to optimize future interactions. For example, a resource might include it in a 2xx (Successful) response when the request content was big enough to justify use of a compression coding but the client failed do so.",12.5.3,Accept-Encoding,3,13,2,415,"Accept,Accept-Encoding",,,,,MUST
An origin server SHOULD generate a Vary header field on a cacheable response when it wishes that response to be selectively reused for subsequent requests.,"The response is cacheable and the origin server wishes the response to be selectively reused for subsequent requests (for example, when the response content has been tailored to user preferences via selecting header fields).",The origin server SHOULD generate a Vary header field on the cacheable response.,Origin Server,SHOULD,"An origin server SHOULD generate a Vary header field on a cacheable response when it wishes that response to be selectively reused for subsequent requests. Generally, that is the case when the response content has been tailored to better fit the preferences expressed by those selecting header fields, such as when an origin server has selected the response's language based on the request's Accept-Language header field.","A Vary field containing a list of field names has two purposes: 1. To inform cache recipients that they MUST NOT use this response to satisfy a later request unless the later request has the same values for the listed header fields as the original request (Section 4.1 of [CACHING]) or reuse of the response has been validated by the origin server. In other words, Vary expands the cache key required to match a new request to the stored cache entry. 2. To inform user agent recipients that this response was subject to content negotiation (Section 12) and a different representation might be sent in a subsequent request if other values are provided in the listed header fields (proactive negotiation).","Vary might be elided when an origin server considers variance in content selection to be less significant than Vary's performance impact on caching, particularly when reuse is already limited by cache response directives (Section 5.2 of [CACHING]).",12.5.5,Vary,3,8,1,,Vary,,,,,SHOULD
"An origin server MUST use the strong comparison function when comparing entity tags for If-Match (Section 8.8.3.2), since the client intends this precondition to prevent the method from being applied if there have been any changes to the representation data.","When processing an 'If-Match' conditional request where the client intends to prevent the method from being applied if the representation data has changed (i.e., when comparing entity tags for an 'If-Match' header).",The origin server MUST use the strong comparison function when comparing entity tags for 'If-Match' as specified in Section 8.8.3.2.,Origin Server,MUST,"An origin server MUST use the strong comparison function when comparing entity tags for If-Match (Section 8.8.3.2), since the client intends this precondition to prevent the method from being applied if there have been any changes to the representation data.","The ""If-Match"" header field makes the request method conditional on the recipient origin server either having at least one current representation of the target resource, when the field value is ""*"", or having a current representation of the target resource that has an entity tag matching a member of the list of entity tags provided in the field value.",Examples:,13.1.1,If-Match,3,2,1,,If-Match,,,,,MUST
"When an origin server receives a request that selects a representation and that request includes an If-Match header field, the origin server MUST evaluate the If-Match condition per Section 13.2 prior to performing the method.",An origin server receives a request that selects a representation and that request includes an If-Match header field.,The origin server MUST evaluate the If-Match condition per Section 13.2 prior to performing the method.,Origin Server,MUST,"When an origin server receives a request that selects a representation and that request includes an If-Match header field, the origin server MUST evaluate the If-Match condition per Section 13.2 prior to performing the method.","If-Match is most often used with state-changing methods (e.g., POST, PUT, DELETE) to prevent accidental overwrites when multiple user agents might be acting in parallel on the same resource (i.e., to prevent the ""lost update"" problem). In general, it can be used with any method that involves the selection or modification of a representation to abort the request if the selected representation's current entity tag is not a member within the If-Match field value.","To evaluate a received If-Match header field: 1. If the field value is ""*"", the condition is true if the origin server has a current representation for the target resource. 2. If the field value is a list of entity tags, the condition is true if any of the listed tags match the entity tag of the selected representation. 3. Otherwise, the condition is false.",13.1.1,If-Match,3,6,1,,If-Match,,,,,MUST
